Analyse de l'image : IMG_20190829_140446.jpg
Résultats de la prédiction :
- Classe 226 : 0.00%
- Classe 227 : 0.00%
- Classe 228 : 0.00%
- Classe 229 : 0.00%
- Classe 230 : 0.00%
- Classe 231 : 0.00%
- Classe 232 : 0.00%
- Classe 233 : 0.00%
- Classe 234 : 0.00%
- Classe 235 : 0.00%
- Classe 236 : 0.00%
- Classe 237 : 0.00%
- Classe 238 : 0.00%
- Classe 239 : 0.00%
- Classe 240 : 0.00%
- Classe 241 : 0.00%
- Classe 242 : 0.00%
- Classe 243 : 0.00%
- Classe 244 : 0.00%
- Classe 245 : 0.00%
- Classe 246 : 0.00%
- Classe 247 : 0.00%
- Classe 248 : 0.00%
- Classe 249 : 0.00%
- Classe 250 : 0.00%
- Classe 251 : 0.00%
- Classe 252 : 0.00%
- Classe 253 : 0.00%
- Classe 254 : 0.00%
- Classe 255 : 0.00%
- Classe 256 : 0.00%
- Classe 257 : 0.00%
- Classe 258 : 0.00%
- Classe 259 : 0.00%
- Classe 260 : 0.00%
- Classe 261 : 0.00%
- Classe 262 : 0.00%
- Classe 263 : 0.00%
- Classe 264 : 0.00%
- Classe 265 : 0.00%
- Classe 266 : 0.00%
- Classe 267 : 0.00%
- Classe 268 : 0.00%
- Classe 269 : 0.00%
- Classe 270 : 0.00%
- Classe 271 : 0.00%
- Classe 272 : 0.00%
- Classe 273 : 0.00%
- Classe 274 : 0.00%
- Classe 275 : 0.00%
- Classe 276 : 0.00%
- Classe 277 : 0.00%
- Classe 278 : 0.00%
- Classe 279 : 0.00%
- Classe 280 : 0.00%
- Classe 281 : 0.00%
- Classe 282 : 0.00%
- Classe 283 : 0.00%
- Classe 284 : 0.00%
- Classe 285 : 0.00%
- Classe 286 : 0.00%
- Classe 287 : 0.00%
- Classe 288 : 0.00%
- Classe 289 : 0.00%
- Classe 290 : 0.00%
- Classe 291 : 0.00%
- Classe 292 : 0.00%
- Classe 293 : 0.00%
- Classe 294 : 0.00%
- Classe 295 : 0.00%
- Classe 296 : 0.00%
- Classe 297 : 0.00%
- Classe 298 : 0.00%
- Classe 299 : 0.00%
- Classe 300 : 0.00%
- Classe 301 : 0.00%
- Classe 302 : 0.00%
- Classe 303 : 0.00%
- Classe 304 : 0.00%
- Classe 305 : 0.00%
- Classe 306 : 0.00%
- Classe 307 : 0.00%
- Classe 308 : 0.00%
- Classe 309 : 0.00%
- Classe 310 : 0.00%
- Classe 311 : 0.00%
- Classe 312 : 0.00%
- Classe 313 : 0.00%
- Classe 314 : 0.00%
- Classe 315 : 0.00%
- Classe 316 : 0.00%
- Classe 317 : 0.00%
- Classe 318 : 0.00%
- Classe 319 : 0.00%
- Classe 320 : 0.00%
- Classe 321 : 0.00%
- Classe 322 : 0.00%
- Classe 323 : 0.00%
- Classe 324 : 0.00%
- Classe 325 : 0.00%
- Classe 326 : 0.00%
- Classe 327 : 0.00%
- Classe 328 : 0.00%
- Classe 329 : 0.00%
- Classe 330 : 0.00%
- Classe 331 : 0.00%
- Classe 332 : 0.00%
- Classe 333 : 0.00%
- Classe 334 : 0.00%
- Classe 335 : 0.00%
- Classe 336 : 0.00%
- Classe 337 : 0.00%
- Classe 338 : 0.00%
- Classe 339 : 0.00%
- Classe 340 : 0.00%
- Classe 341 : 0.00%
- Classe 342 : 0.00%
- Classe 343 : 0.00%
- Classe 344 : 0.00%
- Classe 345 : 0.00%
- Classe 346 : 0.00%
- Classe 347 : 0.00%
- Classe 348 : 0.00%
- Classe 349 : 0.00%
- Classe 350 : 0.00%
- Classe 351 : 0.00%
- Classe 352 : 0.00%
- Classe 353 : 0.00%
- Classe 354 : 0.00%
- Classe 355 : 0.00%
- Classe 356 : 0.00%
- Classe 357 : 0.00%
- Classe 358 : 0.00%
- Classe 359 : 0.00%
- Classe 360 : 0.00%
- Classe 361 : 0.00%
- Classe 362 : 0.00%
- Classe 363 : 0.00%
- Classe 364 : 0.00%
- Classe 365 : 0.00%
- Classe 366 : 0.00%
- Classe 367 : 0.00%
- Classe 368 : 0.00%
- Classe 369 : 0.00%
- Classe 370 : 0.00%
- Classe 371 : 0.00%
- Classe 372 : 0.00%
- Classe 373 : 0.00%
- Classe 374 : 0.00%
- Classe 375 : 0.00%
- Classe 376 : 0.00%
- Classe 377 : 0.00%
- Classe 378 : 0.00%
- Classe 379 : 0.00%
- Classe 380 : 0.00%
- Classe 381 : 0.00%
- Classe 382 : 0.00%
- Classe 383 : 0.00%
- Classe 384 : 0.00%
- Classe 385 : 0.00%
- Classe 386 : 0.00%
- Classe 387 : 0.00%
- Classe 388 : 0.00%
- Classe 389 : 0.00%
- Classe 390 : 0.00%
- Classe 391 : 0.00%
- Classe 392 : 0.00%
- Classe 393 : 0.00%
- Classe 394 : 0.00%
- Classe 395 : 0.00%
- Classe 396 : 0.00%
- Classe 397 : 0.00%
- Classe 398 : 0.00%
- Classe 399 : 0.00%
- Classe 400 : 0.00%
- Classe 401 : 0.00%
- Classe 402 : 0.00%
- Classe 403 : 0.00%
- Classe 404 : 0.00%
- Classe 405 : 0.00%
- Classe 406 : 0.00%
- Classe 407 : 0.00%
- Classe 408 : 0.00%
- Classe 409 : 0.00%
- Classe 410 : 0.00%
- Classe 411 : 0.00%
- Classe 412 : 0.00%
- Classe 413 : 0.00%
- Classe 414 : 0.00%
- Classe 415 : 0.00%
- Classe 416 : 0.00%
- Classe 417 : 0.00%
- Classe 418 : 0.00%
- Classe 419 : 0.00%
- Classe 420 : 0.00%
- Classe 421 : 0.00%
- Classe 422 : 0.00%
- Classe 423 : 0.00%
- Classe 424 : 0.00%
- Classe 425 : 0.00%
- Classe 426 : 1.00%
- Classe 427 : 0.00%
- Classe 428 : 0.00%
- Classe 429 : 0.00%
- Classe 430 : 0.00%
- Classe 431 : 0.00%
- Classe 432 : 0.00%
- Classe 433 : 0.00%
- Classe 434 : 0.00%
- Classe 435 : 0.00%
- Classe 436 : 0.00%
- Classe 437 : 0.00%
- Classe 438 : 0.00%
- Classe 439 : 0.00%
- Classe 440 : 0.00%
- Classe 441 : 0.00%
- Classe 442 : 0.00%
- Classe 443 : 0.00%
- Classe 444 : 0.00%
- Classe 445 : 0.00%
- Classe 446 : 17.00%
- Classe 447 : 0.00%
- Classe 448 : 0.00%
- Classe 449 : 0.00%
- Classe 450 : 0.00%
- Classe 451 : 0.00%
